      3.399  -1.05E+00  -1.36E-01   0.00E+00   8.23E-01   3.31E-01   0.00E+00   2.27E-01  -1.95E-01   0.00E+00 
      3.499  -1.07E+00  -8.96E-02   0.00E+00   7.37E-01   3.52E-01   0.00E+00   3.31E-01  -2.63E-01   0.00E+00 
      3.599  -1.08E+00  -4.28E-02   0.00E+00   6.38E-01   3.58E-01   0.00E+00   4.40E-01  -3.15E-01   0.00E+00 
      3.699  -1.08E+00   3.88E-03   0.00E+00   5.31E-01   3.43E-01   0.00E+00   5.50E-01  -3.47E-01   0.00E+00 
      3.799  -1.08E+00   5.06E-02   0.00E+00   4.20E-01   3.07E-01   0.00E+00   6.57E-01  -3.58E-01   0.00E+00 
      3.899  -1.07E+00   9.73E-02   0.00E+00   3.12E-01   2.52E-01   0.00E+00   7.53E-01  -3.49E-01   0.00E+00 
      3.999  -1.05E+00   1.44E-01   0.00E+00   2.09E-01   1.82E-01   0.00E+00   8.37E-01  -3.26E-01   0.00E+00 
      4.099  -1.02E+00   1.90E-01   0.00E+00   1.11E-01   1.01E-01   0.00E+00   9.06E-01  -2.91E-01   0.00E+00 
      4.199  -9.79E-01   2.35E-01   0.00E+00   1.70E-02   1.60E-02   0.00E+00   9.61E-01  -2.51E-01   0.00E+00 
      4.299  -9.28E-01   2.77E-01   0.00E+00  -7.66E-02  -7.01E-02   0.00E+00   1.00E+00  -2.07E-01   0.00E+00 
      4.399  -8.64E-01   3.14E-01   0.00E+00  -1.73E-01  -1.53E-01   0.00E+00   1.04E+00  -1.61E-01   0.00E+00 
      4.499  -7.86E-01   3.42E-01   0.00E+00  -2.74E-01  -2.27E-01   0.00E+00   1.06E+00  -1.15E-01   0.00E+00 
      4.599  -6.94E-01   3.57E-01   0.00E+00  -3.80E-01  -2.89E-01   0.00E+00   1.07E+00  -6.79E-02   0.00E+00 
      4.699  -5.90E-01   3.54E-01   0.00E+00  -4.90E-01  -3.32E-01   0.00E+00   1.08E+00  -2.12E-02   0.00E+00 
      4.799  -4.80E-01   3.29E-01   0.00E+00  -6.00E-01  -3.55E-01   0.00E+00   1.08E+00   2.55E-02   0.00E+00 
      4.899  -3.70E-01   2.84E-01   0.00E+00  -7.02E-01  -3.56E-01   0.00E+00   1.07E+00   7.23E-02   0.00E+00 
      4.999  -2.64E-01   2.21E-01   0.00E+00  -7.93E-01  -3.40E-01   0.00E+00   1.06E+00   1.19E-01   0.00E+00 
      5.099  -1.64E-01   1.46E-01   0.00E+00  -8.70E-01  -3.11E-01   0.00E+00   1.03E+00   1.65E-01   0.00E+00 
      5.199  -6.80E-02   6.24E-02   0.00E+00  -9.33E-01  -2.73E-01   0.00E+00   1.00E+00   2.11E-01   0.00E+00 
      5.299   2.54E-02  -2.38E-02   0.00E+00  -9.83E-01  -2.31E-01   0.00E+00   9.57E-01   2.55E-01   0.00E+00 
      5.399   1.20E-01  -1.09E-01   0.00E+00  -1.02E+00  -1.86E-01   0.00E+00   9.00E-01   2.95E-01   0.00E+00 
      5.499   2.18E-01  -1.88E-01   0.00E+00  -1.05E+00  -1.40E-01   0.00E+00   8.30E-01   3.28E-01   0.00E+00 
      5.599   3.21E-01  -2.58E-01   0.00E+00  -1.07E+00  -9.32E-02   0.00E+00   7.45E-01   3.51E-01   0.00E+00 
      5.699   4.30E-01  -3.11E-01   0.00E+00  -1.08E+00  -4.65E-02   0.00E+00   6.47E-01   3.58E-01   0.00E+00 
      5.799   5.41E-01  -3.45E-01   0.00E+00  -1.08E+00   2.21E-04   0.00E+00   5.40E-01   3.45E-01   0.00E+00 
      5.899   6.48E-01  -3.58E-01   0.00E+00  -1.08E+00   4.69E-02   0.00E+00   4.30E-01   3.11E-01   0.00E+00 
      5.999   7.45E-01  -3.51E-01   0.00E+00  -1.07E+00   9.37E-02   0.00E+00   3.21E-01   2.57E-01   0.00E+00 
      6.099   8.30E-01  -3.28E-01   0.00E+00  -1.05E+00   1.40E-01   0.00E+00   2.17E-01   1.88E-01   0.00E+00 
      6.199   9.00E-01  -2.95E-01   0.00E+00  -1.02E+00   1.86E-01   0.00E+00   1.19E-01   1.08E-01   0.00E+00 
      6.299   9.57E-01  -2.55E-01   0.00E+00  -9.83E-01   2.31E-01   0.00E+00   2.50E-02   2.33E-02   0.00E+00 
      6.399   1.00E+00  -2.11E-01   0.00E+00  -9.33E-01   2.74E-01   0.00E+00  -6.84E-02  -6.29E-02   0.00E+00 
      6.499   1.03E+00  -1.65E-01   0.00E+00  -8.70E-01   3.11E-01   0.00E+00  -1.64E-01  -1.46E-01   0.00E+00 
      6.599   1.06E+00  -1.19E-01   0.00E+00  -7.93E-01   3.40E-01   0.00E+00  -2.65E-01  -2.21E-01   0.00E+00 
      6.699   1.07E+00  -7.22E-02   0.00E+00  -7.02E-01   3.56E-01   0.00E+00  -3.71E-01  -2.84E-01   0.00E+00 
      6.799   1.08E+00  -2.54E-02   0.00E+00  -6.00E-01   3.55E-01   0.00E+00  -4.81E-01  -3.29E-01   0.00E+00 
      6.899   1.08E+00   2.13E-02   0.00E+00  -4.91E-01   3.33E-01   0.00E+00  -5.90E-01  -3.54E-01   0.00E+00 
      6.999   1.07E+00   6.80E-02   0.00E+00  -3.80E-01   2.89E-01   0.00E+00  -6.94E-01  -3.57E-01   0.00E+00 
      7.099   1.06E+00   1.15E-01   0.00E+00  -2.74E-01   2.28E-01   0.00E+00  -7.86E-01  -3.42E-01   0.00E+00 
      7.199   1.04E+00   1.61E-01   0.00E+00  -1.73E-01   1.53E-01   0.00E+00  -8.64E-01  -3.14E-01   0.00E+00 
      7.299   1.00E+00   2.07E-01   0.00E+00  -7.68E-02   7.04E-02   0.00E+00  -9.28E-01  -2.77E-01   0.00E+00 
      7.399   9.61E-01   2.51E-01   0.00E+00   1.67E-02  -1.56E-02   0.00E+00  -9.79E-01  -2.35E-01   0.00E+00 
      7.499   9.06E-01   2.91E-01   0.00E+00   1.11E-01  -1.01E-01   0.00E+00  -1.02E+00  -1.91E-01   0.00E+00 
      7.599   8.37E-01   3.26E-01   0.00E+00   2.08E-01  -1.81E-01   0.00E+00  -1.05E+00  -1.44E-01   0.00E+00 
      7.699   7.53E-01   3.49E-01   0.00E+00   3.12E-01  -2.52E-01   0.00E+00  -1.07E+00  -9.78E-02   0.00E+00 
      7.799   6.57E-01   3.58E-01   0.00E+00   4.20E-01  -3.07E-01   0.00E+00  -1.08E+00  -5.11E-02   0.00E+00 
      7.899   5.50E-01   3.47E-01   0.00E+00   5.30E-01  -3.43E-01   0.00E+00  -1.08E+00  -4.41E-03   0.00E+00 
      7.999   4.40E-01   3.15E-01   0.00E+00   6.38E-01  -3.58E-01   0.00E+00  -1.08E+00   4.23E-02   0.00E+00 
      8.099   3.31E-01   2.63E-01   0.00E+00   7.37E-01  -3.52E-01   0.00E+00  -1.07E+00   8.90E-02   0.00E+00 
      8.199   2.27E-01   1.95E-01   0.00E+00   8.23E-01  -3.31E-01   0.00E+00  -1.05E+00   1.36E-01   0.00E+00 
      8.299   1.28E-01   1.16E-01   0.00E+00   8.94E-01  -2.98E-01   0.00E+00  -1.02E+00   1.82E-01   0.00E+00 
      8.399   3.38E-02   3.15E-02   0.00E+00   9.52E-01  -2.59E-01   0.00E+00  -9.87E-01   2.27E-01   0.00E+00 
      8.499  -5.96E-02  -5.47E-02   0.00E+00   9.97E-01  -2.15E-01   0.00E+00  -9.38E-01   2.70E-01   0.00E+00 
      8.599  -1.55E-01  -1.38E-01   0.00E+00   1.03E+00  -1.69E-01   0.00E+00  -8.77E-01   3.08E-01   0.00E+00 
      8.699  -2.55E-01  -2.15E-01   0.00E+00   1.06E+00  -1.23E-01   0.00E+00  -8.01E-01   3.38E-01   0.00E+00 
      8.799  -3.61E-01  -2.79E-01   0.00E+00   1.07E+00  -7.64E-02   0.00E+00  -7.11E-01   3.55E-01   0.00E+00 
      8.899  -4.70E-01  -3.26E-01   0.00E+00   1.08E+00  -2.96E-02   0.00E+00  -6.10E-01   3.56E-01   0.00E+00 
      8.999  -5.80E-01  -3.52E-01   0.00E+00   1.08E+00   1.71E-02   0.00E+00  -5.01E-01   3.35E-01   0.00E+00 
      9.099  -6.84E-01  -3.58E-01   0.00E+00   1.07E+00   6.38E-02   0.00E+00  -3.91E-01   2.94E-01   0.00E+00 
      9.199  -7.78E-01  -3.44E-01   0.00E+00   1.06E+00   1.11E-01   0.00E+00  -2.83E-01   2.34E-01   0.00E+00 
      9.299  -8.57E-01  -3.17E-01   0.00E+00   1.04E+00   1.57E-01   0.00E+00  -1.82E-01   1.60E-01   0.00E+00 
      9.399  -9.23E-01  -2.81E-01   0.00E+00   1.01E+00   2.03E-01   0.00E+00  -8.55E-02   7.81E-02   0.00E+00 
      9.499  -9.74E-01  -2.39E-01   0.00E+00   9.65E-01   2.47E-01   0.00E+00   8.18E-03  -7.82E-03   0.00E+00 
      9.599  -1.01E+00  -1.95E-01   0.00E+00   9.11E-01   2.88E-01   0.00E+00   1.02E-01  -9.34E-02   0.00E+00 
      9.699  -1.04E+00  -1.49E-01   0.00E+00   8.43E-01   3.23E-01   0.00E+00   1.99E-01  -1.74E-01   0.00E+00 
      9.799  -1.06E+00  -1.02E-01   0.00E+00   7.61E-01   3.48E-01   0.00E+00   3.02E-01  -2.46E-01   0.00E+00 
      9.899  -1.08E+00  -5.53E-02   0.00E+00   6.66E-01   3.58E-01   0.00E+00   4.10E-01  -3.03E-01   0.00E+00 
      9.999  -1.08E+00  -8.62E-03   0.00E+00   5.60E-01   3.49E-01   0.00E+00   5.20E-01  -3.41E-01   0.00E+00 
