#Index            X            Y            Z         Mass
     3  7.52363E-01  4.05094E-01  0.00000E+00  1.00000E+00
     1 -5.00819E-02 -3.20828E-01  0.00000E+00  1.00000E+00
     2 -7.14600E-01 -1.11928E-01  0.00000E+00  1.00000E+00
     3  7.64682E-01  4.32756E-01  0.00000E+00  1.00000E+00
     1 -6.54796E-02 -3.66243E-01  0.00000E+00  1.00000E+00
     2 -7.09960E-01 -9.30693E-02  0.00000E+00  1.00000E+00
     3  7.75439E-01  4.59312E-01  0.00000E+00  1.00000E+00
     1 -8.30576E-02 -4.09578E-01  0.00000E+00  1.00000E+00
     2 -7.01718E-01 -7.52611E-02  0.00000E+00  1.00000E+00
     3  7.84775E-01  4.84839E-01  0.00000E+00  1.00000E+00
     1 -1.02762E-01 -4.50636E-01  0.00000E+00  1.00000E+00
     2 -6.90037E-01 -5.87658E-02  0.00000E+00  1.00000E+00
     3  7.92799E-01  5.09402E-01  0.00000E+00  1.00000E+00
     1 -1.24500E-01 -4.89235E-01  0.00000E+00  1.00000E+00
     2 -6.75095E-01 -4.38234E-02  0.00000E+00  1.00000E+00
     3  7.99595E-01  5.33058E-01  0.00000E+00  1.00000E+00
     1 -1.48152E-01 -5.25203E-01  0.00000E+00  1.00000E+00
     2 -6.57078E-01 -3.06533E-02  0.00000E+00  1.00000E+00
     3  8.05230E-01  5.55856E-01  0.00000E+00  1.00000E+00
     1 -1.73571E-01 -5.58380E-01  0.00000E+00  1.00000E+00
     2 -6.36186E-01 -1.94560E-02  0.00000E+00  1.00000E+00
     3  8.09757E-01  5.77836E-01  0.00000E+00  1.00000E+00
     1 -2.00591E-01 -5.88616E-01  0.00000E+00  1.00000E+00
     2 -6.12625E-01 -1.04144E-02  0.00000E+00  1.00000E+00
     3  8.13216E-01  5.99030E-01  0.00000E+00  1.00000E+00
     1 -2.29025E-01 -6.15768E-01  0.00000E+00  1.00000E+00
     2 -5.86610E-01 -3.69488E-03  0.00000E+00  1.00000E+00
     3  8.15636E-01  6.19463E-01  0.00000E+00  1.00000E+00
     1 -2.58669E-01 -6.39705E-01  0.00000E+00  1.00000E+00
     2 -5.58370E-01  5.52752E-04  0.00000E+00  1.00000E+00
     3  8.17039E-01  6.39152E-01  0.00000E+00  1.00000E+00
     1 -2.89301E-01 -6.60305E-01  0.00000E+00  1.00000E+00
     2 -5.28142E-01  2.19523E-03  0.00000E+00  1.00000E+00
     3  8.17442E-01  6.58110E-01  0.00000E+00  1.00000E+00
     1 -3.20677E-01 -6.77457E-01  0.00000E+00  1.00000E+00
     2 -4.96179E-01  1.11732E-03  0.00000E+00  1.00000E+00
     3  8.16856E-01  6.76340E-01  0.00000E+00  1.00000E+00
     1 -3.52538E-01 -6.91067E-01  0.00000E+00  1.00000E+00
     2 -4.62750E-01 -2.77619E-03  0.00000E+00  1.00000E+00
     3  8.15288E-01  6.93843E-01  0.00000E+00  1.00000E+00
     1 -3.84604E-01 -7.01053E-01  0.00000E+00  1.00000E+00
     2 -4.28138E-01 -9.55757E-03  0.00000E+00  1.00000E+00
     3  8.12742E-01  7.10611E-01  0.00000E+00  1.00000E+00
     1 -4.16576E-01 -7.07359E-01  0.00000E+00  1.00000E+00
     2 -3.92646E-01 -1.92726E-02  0.00000E+00  1.00000E+00
     3  8.09222E-01  7.26632E-01  0.00000E+00  1.00000E+00
     1 -4.48137E-01 -7.09953E-01  0.00000E+00  1.00000E+00
     2 -3.56594E-01 -3.19362E-02  0.00000E+00  1.00000E+00
     3  8.04730E-01  7.41890E-01  0.00000E+00  1.00000E+00
     1 -4.78955E-01 -7.08833E-01  0.00000E+00  1.00000E+00
     2 -3.20316E-01 -4.75284E-02  0.00000E+00  1.00000E+00
     3  7.99271E-01  7.56362E-01  0.00000E+00  1.00000E+00
     1 -5.08688E-01 -7.04034E-01  0.00000E+00  1.00000E+00
     2 -2.84161E-01 -6.59898E-02  0.00000E+00  1.00000E+00
     3  7.92850E-01  7.70024E-01  0.00000E+00  1.00000E+00
     1 -5.36986E-01 -6.95629E-01  0.00000E+00  1.00000E+00
     2 -2.48488E-01 -8.72186E-02  0.00000E+00  1.00000E+00
     3  7.85475E-01  7.82848E-01  0.00000E+00  1.00000E+00
     1 -5.63502E-01 -6.83736E-01  0.00000E+00  1.00000E+00
     2 -2.13656E-01 -1.11068E-01  0.00000E+00  1.00000E+00
     3  7.77159E-01  7.94804E-01  0.00000E+00  1.00000E+00
     1 -5.87898E-01 -6.68517E-01  0.00000E+00  1.00000E+00
     2 -1.80020E-01 -1.37347E-01  0.00000E+00  1.00000E+00
     3  7.67918E-01  8.05864E-01  0.00000E+00  1.00000E+00
     1 -6.09853E-01 -6.50179E-01  0.00000E+00  1.00000E+00
     2 -1.47921E-01 -1.65821E-01  0.00000E+00  1.00000E+00
     3  7.57773E-01  8.16000E-01  0.00000E+00  1.00000E+00
     1 -6.29074E-01 -6.28968E-01  0.00000E+00  1.00000E+00
     2 -1.17675E-01 -1.96218E-01  0.00000E+00  1.00000E+00
     3  7.46749E-01  8.25186E-01  0.00000E+00  1.00000E+00
     1 -6.45303E-01 -6.05167E-01  0.00000E+00  1.00000E+00
     2 -8.95711E-02 -2.28233E-01  0.00000E+00  1.00000E+00
     3  7.34874E-01  8.33400E-01  0.00000E+00  1.00000E+00
     1 -6.58320E-01 -5.79084E-01  0.00000E+00  1.00000E+00
     2 -6.38566E-02 -2.61540E-01  0.00000E+00  1.00000E+00
     3  7.22177E-01  8.40624E-01  0.00000E+00  1.00000E+00
     1 -6.67950E-01 -5.51051E-01  0.00000E+00  1.00000E+00
     2 -4.07385E-02 -2.95795E-01  0.00000E+00  1.00000E+00
     3  7.08688E-01  8.46846E-01  0.00000E+00  1.00000E+00
     1 -6.74059E-01 -5.21406E-01  0.00000E+00  1.00000E+00
     2 -2.03786E-02 -3.30649E-01  0.00000E+00  1.00000E+00
     3  6.94438E-01  8.52055E-01  0.00000E+00  1.00000E+00
     1 -6.76559E-01 -4.90493E-01  0.00000E+00  1.00000E+00
     2 -2.89419E-03 -3.65753E-01  0.00000E+00  1.00000E+00
     3  6.79454E-01  8.56246E-01  0.00000E+00  1.00000E+00
     1 -6.75400E-01 -4.58650E-01  0.00000E+00  1.00000E+00
     2  1.16400E-02 -4.00765E-01  0.00000E+00  1.00000E+00
     3  6.63760E-01  8.59415E-01  0.00000E+00  1.00000E+00
     1 -6.70566E-01 -4.26205E-01  0.00000E+00  1.00000E+00
     2  2.31884E-02 -4.35356E-01  0.00000E+00  1.00000E+00
     3  6.47377E-01  8.61560E-01  0.00000E+00  1.00000E+00
     1 -6.62073E-01 -3.93473E-01  0.00000E+00  1.00000E+00
     2  3.17508E-02 -4.69208E-01  0.00000E+00  1.00000E+00
     3  6.30323E-01  8.62681E-01  0.00000E+00  1.00000E+00
     1 -6.49965E-01 -3.60752E-01  0.00000E+00  1.00000E+00
     2  3.73580E-02 -5.02020E-01  0.00000E+00  1.00000E+00
     3  6.12607E-01  8.62773E-01  0.00000E+00  1.00000E+00
     1 -6.34302E-01 -3.28325E-01  0.00000E+00  1.00000E+00
     2  4.00673E-02 -5.33508E-01  0.00000E+00  1.00000E+00
     3  5.94235E-01  8.61832E-01  0.00000E+00  1.00000E+00
     1 -6.15168E-01 -2.96452E-01  0.00000E+00  1.00000E+00
     2  3.99596E-02 -5.63399E-01  0.00000E+00  1.00000E+00
     3  5.75208E-01  8.59851E-01  0.00000E+00  1.00000E+00
     1 -5.92657E-01 -2.65380E-01  0.00000E+00  1.00000E+00
     2  3.71363E-02 -5.91437E-01  0.00000E+00  1.00000E+00
     3  5.55521E-01  8.56817E-01  0.00000E+00  1.00000E+00
     1 -5.66878E-01 -2.35335E-01  0.00000E+00  1.00000E+00
     2  3.17173E-02 -6.17377E-01  0.00000E+00  1.00000E+00
     3  5.35161E-01  8.52712E-01  0.00000E+00  1.00000E+00
     1 -5.37951E-01 -2.06527E-01  0.00000E+00  1.00000E+00
