 Body           x           y           z          vx          vy          vz             Time
  4         1.1184E+00  2.2376E+00  5.7423E-01 -4.4182E+00  2.4623E+00  9.2031E-02        0.29
  5         2.2343E+00  4.4965E-01 -6.6276E-01 -3.0901E+00  5.6888E+00  2.1475E-02        0.29
  1         4.3282E-08  3.1969E-08  1.0233E-09  2.0745E-07  2.9021E-07 -1.5815E-09        0.30
  2        -7.2311E-01  5.9177E-01  4.7969E-02 -3.2845E+00 -9.6339E+00 -2.2714E+00        0.30
  3        -1.9997E-03  1.0479E+00 -1.4179E-01 -1.0118E+01 -1.6071E+00  2.6997E+00        0.30
  4         1.0734E+00  2.2618E+00  5.7499E-01 -4.4836E+00  2.3281E+00  5.7749E-02        0.30
  5         2.2022E+00  5.0693E-01 -6.6229E-01 -3.2596E+00  5.6522E+00  7.2117E-02        0.30
  1         4.5340E-08  3.4991E-08  1.0032E-09  1.9963E-07  3.0819E-07 -2.4052E-09        0.31
  2        -7.5152E-01  4.9085E-01  2.4768E-02 -2.3161E+00 -1.0343E+01 -2.3188E+00        0.31
  3        -1.0403E-01  1.0271E+00 -1.1395E-01 -1.0071E+01 -2.5185E+00  2.8119E+00        0.31
  4         1.0278E+00  2.2846E+00  5.7540E-01 -4.5461E+00  2.1927E+00  2.3509E-02        0.31
  5         2.1685E+00  5.6381E-01 -6.6130E-01 -3.4307E+00  5.6103E+00  1.2392E-01        0.31
  1         4.7306E-08  3.8194E-08  9.7437E-10  1.8917E-07  3.2589E-07 -3.3228E-09        0.32
  2        -7.6933E-01  3.8303E-01  1.2243E-03 -1.1815E+00 -1.0993E+01 -2.3378E+00        0.32
  3        -2.0510E-01  9.9691E-01 -8.5062E-02 -9.9271E+00 -3.4552E+00  2.9039E+00        0.32
  4         9.8161E-01  2.3061E+00  5.7547E-01 -4.6058E+00  2.0563E+00 -1.0690E-02        0.32
  5         2.1329E+00  6.2024E-01 -6.5979E-01 -3.6032E+00  5.5628E+00  1.7690E-01        0.32
  1         4.9152E-08  4.1571E-08  9.3558E-10  1.7581E-07  3.4284E-07 -4.3885E-09        0.33
  2        -7.7476E-01  2.6910E-01 -2.2330E-02  1.3781E-01 -1.1548E+01 -2.3193E+00        0.33
  3        -3.0420E-01  9.5722E-01 -5.5367E-02 -9.6794E+00 -4.4039E+00  2.9720E+00        0.33
  4         9.3480E-01  2.3262E+00  5.7519E-01 -4.6627E+00  1.9188E+00 -4.4850E-02        0.33
  5         2.0957E+00  6.7616E-01 -6.5773E-01 -3.7769E+00  5.5096E+00  2.3104E-01        0.33
  1         5.0847E-08  4.5114E-08  8.8497E-10  1.5935E-07  3.5837E-07 -5.6807E-09        0.34
  2        -7.6588E-01  1.5025E-01 -4.5462E-02  1.6553E+00 -1.1958E+01 -2.2520E+00        0.34
  3        -4.0025E-01  9.0796E-01 -2.5120E-02 -9.3220E+00 -5.3492E+00  3.0127E+00        0.34
  4         8.8743E-01  2.3449E+00  5.7456E-01 -4.7168E+00  1.7802E+00 -7.8970E-02        0.34
  5         2.0566E+00  7.3151E-01 -6.5512E-01 -3.9519E+00  5.4502E+00  2.8635E-01        0.34
  1         5.2360E-08  4.8803E-08  8.1972E-10  1.3975E-07  3.7167E-07 -7.3038E-09        0.35
  2        -7.4065E-01  2.8246E-02 -6.7611E-02  3.3734E+00 -1.2159E+01 -2.1224E+00        0.35
  3        -4.9213E-01  8.4924E-01  5.3863E-03 -8.8524E+00 -6.2732E+00  3.0230E+00        0.35
  4         8.3953E-01  2.3621E+00  5.7359E-01 -4.7681E+00  1.6405E+00 -1.1305E-01        0.35
  5         2.0158E+00  7.8623E-01 -6.5194E-01 -4.1278E+00  5.3846E+00  3.4283E-01        0.35
  1         5.3660E-08  5.2611E-08  7.3590E-10  1.1720E-07  3.8172E-07 -9.3805E-09        0.36
  2        -6.9712E-01 -9.4378E-02 -8.8074E-02  5.2730E+00 -1.2067E+01 -1.9159E+00        0.36
  3        -5.7870E-01  7.8138E-01  3.5833E-02 -8.2718E+00 -7.1567E+00  3.0005E+00        0.36
  4         7.9113E-01  2.3780E+00  5.7228E-01 -4.8165E+00  1.4996E+00 -1.4709E-01        0.36
  5         1.9733E+00  8.4026E-01 -6.4819E-01 -4.3047E+00  5.3125E+00  4.0046E-01        0.36
  1         5.4720E-08  5.6499E-08  6.2831E-10  9.2307E-08  3.8741E-07 -1.2029E-08        0.37
  2        -6.3370E-01 -2.1422E-01 -1.0601E-01  7.2995E+00 -1.1593E+01 -1.6194E+00        0.37
  3        -6.5886E-01  7.0488E-01  6.5883E-02 -7.5859E+00 -7.9802E+00  2.9441E+00        0.37
  4         7.4225E-01  2.3924E+00  5.7062E-01 -4.8621E+00  1.3577E+00 -1.8110E-01        0.37
